,CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
108,260471,1,2002-03-17,AOTH,J031376199335,,2002-03-17
109,300991,1,2001-01-27,APKN,J064396537844,,2001-01-27
110,631002,2,2000-11-24,WIRT,G099305176452,,2000-11-24
111,531616,1,2001-09-30,APKN,H052678878193,,2001-09-30
112,221025,2,2004-04-29,NOBT,Y048619013809,,2004-04-29
113,725812,2,2006-11-21,WBRI,P002971600776,,2006-11-21
114,904092,2,2005-06-20,REFU,Y067126633030,,2005-06-20
115,735996,1,2007-10-05,WROM,C009844470867,,2007-10-05
116,814676,2,2002-02-21,MOTH,L051308299899,,2002-02-21
117,424048,2,2004-04-28,WIRI,K052262191905,,2004-04-28
118,502939,1,2005-07-08,AOTH,J006324372711,,2005-07-08
119,955390,1,2005-09-03,CHNE,M053319012692,,2005-09-03
120,535258,1,2009-01-24,WIRT,Y042695356004,,2009-01-24
121,536074,2,2008-11-05,WIRI,O071080534225,,2008-11-05
122,504825,1,2008-10-02,APKN,X022195043820,,2008-10-02
123,731959,2,2007-09-29,WOTH,R061705640248,,2007-09-29
124,115869,1,2006-08-06,NOBT,M027788110997,,2006-08-06
125,370716,1,2009-07-21,WOTH,S085294584266,,2009-07-21
126,48420,1,2003-07-31,MWBA,J058349679443,,2003-07-31
127,279171,1,2008-01-15,MOTH,Y090960052228,,2008-01-15
128,313400,1,2009-10-29,MWAS,B064524277727,,2009-10-29
129,99151,1,2005-12-27,REFU,V026071191052,,2005-12-27
130,663628,1,2007-08-12,ABAN,T020340283971,,2007-08-12
131,87408,2,2005-01-09,MOTH,P019403841816,,2005-01-09
132,332604,1,2002-09-08,MWAS,Y089693361499,,2002-09-08
133,204727,1,2006-03-17,APKN,X017180369396,,2006-03-17
134,268672,1,2006-01-02,WROM,Y086738866933,,2006-01-02
135,874935,2,1999-12-11,BCRB,F015418964151,,1999-12-11
136,872667,2,2006-09-26,ABAN,Y072060183409,,2006-09-26
137,200216,1,2007-04-20,WBRI,E034112483408,,2007-04-20
138,204635,2,2007-09-19,WBRI,G062312119458,,2007-09-19
139,604939,2,2005-01-25,BCRB,J094995647415,,2005-01-25
140,96146,1,2009-01-28,REFU,M077031628515,,2009-01-28
141,294712,2,2009-12-19,WIRI,V065638224431,,2009-12-19
142,405981,2,2009-06-28,REFU,F037371273514,,2009-06-28
143,472738,1,2005-10-09,OOTH,M025668792766,,2005-10-09
144,511908,2,2006-08-18,APKN,U063543208773,,2006-08-18
145,993726,2,2001-02-18,ABAN,M028925757624,,2001-02-18
146,23961,2,2003-03-15,BOTH,E076873546996,,2003-03-15
147,753062,2,2008-06-24,MWAS,L079632235794,,2008-06-24
148,562913,1,2002-01-21,WOTH,X072942545850,,2002-01-21
149,533297,1,2007-08-17,AOTH,N090041216254,,2007-08-17
150,704877,1,2000-07-15,WIRT,K094569734387,,2000-07-15
151,862146,2,2006-08-02,APKN,T040866019829,,2006-08-02
152,2351,1,2003-07-19,NOBT,H073568167382,,2003-07-19
153,682527,1,2008-04-22,MWAS,X052722440351,,2008-04-22
154,121280,1,1999-07-19,WIRI,D030231193036,,1999-07-19
155,404747,2,2005-12-29,WOTH,M083923061390,,2005-12-29
156,923340,1,2000-07-01,MWAS,A069379035262,,2000-07-01
157,280577,1,2007-11-21,WBRI,A088291693314,,2007-11-21
158,274248,2,2005-06-12,AIND,W096544617608,,2005-06-12
159,303075,1,2006-11-13,ABAN,P098055642543,,2006-11-13
160,610915,2,2009-06-08,MWAS,P015990734856,,2009-06-08
161,340899,1,2001-05-10,WIRT,H063323829962,,2001-05-10
162,937777,2,2005-09-13,ABAN,N007572513278,,2005-09-13
163,543554,1,2003-03-21,NOBT,Z076585454920,,2003-03-21
164,442009,2,2004-02-17,NOBT,B000162331256,,2004-02-17
165,557029,2,2007-01-04,AIND,T099634773040,,2007-01-04
166,479556,1,2006-04-15,MWBA,A054171871308,,2006-04-15
167,956819,1,2002-11-15,REFU,R003625207297,,2002-11-15
168,673109,1,2000-10-06,WOTH,Q032699198676,,2000-10-06
169,547599,2,2007-02-25,WIRT,U097381237789,,2007-02-25
170,506970,1,2009-12-18,BAFR,E076150921231,,2009-12-18
171,755557,1,2006-07-04,MWBA,W060945154163,,2006-07-04
172,745426,2,2007-10-03,APKN,Q051556941170,,2007-10-03
173,245211,2,1999-06-12,MWAS,L069859292345,,1999-06-12
174,787415,1,2004-04-12,MWBC,C053014138768,,2004-04-12
175,43061,2,2005-07-05,BOTH,N095049339604,,2005-07-05
176,926516,1,2006-03-08,MWBA,G054658168071,,2006-03-08
177,230147,2,2005-06-15,BAFR,E096082708682,,2005-06-15
178,462241,1,2003-07-09,NOBT,O059307399715,,2003-07-09
179,975420,1,2004-08-20,MOTH,J055469316479,,2004-08-20
180,213931,2,2002-06-21,BCRB,N011095490793,,2002-06-21
181,137108,2,2004-04-01,NOBT,B021158724772,,2004-04-01
182,83267,1,1999-06-10,BAFR,O032156368069,,1999-06-10
183,365497,1,2009-01-08,ABAN,B088648905633,,2009-01-08
184,737153,1,2003-05-31,WOTH,S091529097102,,2003-05-31
185,464233,1,2005-03-31,WIRT,Z026566439651,,2005-03-31
186,774643,2,2006-06-27,MWAS,Y055033091670,,2006-06-27
187,994928,1,2005-02-01,WROM,G039321116055,,2005-02-01
188,694959,1,2008-09-11,MWAS,Z092594109024,,2008-09-11
189,248635,2,2001-10-30,BAFR,O075790678196,,2001-10-30
190,172422,2,2000-02-23,CHNE,O098601897148,,2000-02-23
191,513331,1,2009-10-11,WIRT,U062830585128,,2009-10-11
192,876949,1,2001-03-11,AIND,A055109283182,,2001-03-11
193,505453,1,2009-08-04,ABAN,O011128357749,,2009-08-04
194,667777,1,1999-11-02,WOTH,C090647341034,,1999-11-02
195,311627,1,2001-02-25,MWBC,M096485943580,,2001-02-25
196,842080,2,2007-05-14,WROM,E036647976521,,2007-05-14
197,927421,2,2007-03-19,ABAN,L096634408111,,2007-03-19
198,643340,1,2004-04-12,WIRT,B025161806306,,2004-04-12
199,725070,1,2000-10-06,WIRT,Q035091471040,,2000-10-06
200,550940,1,2004-07-11,BCRB,R034294505579,,2004-07-11
201,155620,2,2004-09-19,OOTH,A001366054712,,2004-09-19
202,386356,1,2008-08-23,BAFR,H047853649807,,2008-08-23
203,365512,2,2001-02-11,MOTH,Q071750813981,,2001-02-11
204,635687,1,2004-10-25,AIND,J067297367919,,2004-10-25
205,428775,1,2005-03-18,AIND,O074379008676,,2005-03-18
206,261427,1,1999-06-16,WBRI,E055507914008,,1999-06-16
207,291083,2,2006-08-10,MWBA,M090388820257,,2006-08-10
208,673034,2,2008-02-12,MWAS,H057704240760,,2008-02-12
209,6727,2,2004-08-11,WROM,W054584543873,,2004-08-11
210,179822,2,1999-05-07,MOTH,F071912162971,,1999-05-07
211,814038,2,2007-01-09,MWAS,X044981123816,,2007-01-09
212,422444,2,2001-11-30,OOTH,M097328773264,,2001-11-30
213,765381,2,2006-04-14,OOTH,Q069019824326,,2006-04-14
214,742220,2,2000-09-24,BAFR,M014519228329,,2000-09-24
215,280524,1,2003-12-24,MWBC,G083032692351,,2003-12-24
216,318887,1,2002-09-07,WROM,K044405090237,,2002-09-07
217,5955,1,2009-08-19,BAFR,J068827775173,,2009-08-19
218,781863,1,2002-04-02,WBRI,Y066761025102,,2002-04-02
219,99273,1,2005-07-03,REFU,Y085151664331,,2005-07-03
220,775675,2,2006-04-02,BOTH,J070382886759,,2006-04-02
221,800588,1,2001-12-04,BOTH,B098026740716,,2001-12-04
222,347253,2,2000-11-29,REFU,U091574097544,,2000-11-29
223,140405,1,2008-03-02,NOBT,X024963182164,,2008-03-02
224,753090,1,2009-12-26,MWBC,N074041046350,,2009-12-26
225,27053,2,2007-02-21,BAFR,K056545700564,,2007-02-21
226,230761,1,2001-08-24,BOTH,Z002393756432,,2001-08-24
227,610489,2,2006-05-24,APKN,T037978312243,,2006-05-24
228,719836,2,2005-07-30,BAFR,V088817270605,,2005-07-30
229,369768,2,2000-02-03,AOTH,L045537020009,,2000-02-03
230,628500,1,2000-09-07,WBRI,I060079204878,,2000-09-07
231,397940,2,2005-03-17,AOTH,T080178625463,,2005-03-17
232,211806,2,2002-07-28,WIRI,G079315831333,,2002-07-28
233,991189,1,2006-05-20,WBRI,S015033405894,,2006-05-20
234,70568,1,2000-08-05,NOBT,Z054840334203,,2000-08-05
235,472130,1,2004-02-04,MWBA,B023555825835,,2004-02-04
236,396741,1,2003-09-20,BOTH,Y040211971613,,2003-09-20
237,677730,2,2000-01-05,BCRB,I080800546858,,2000-01-05
238,261597,1,2006-01-05,WIRI,I083713247408,,2006-01-05
239,942534,2,2009-09-19,MWAS,R040767669795,,2009-09-19
240,37452,2,2005-06-05,BCRB,X064501631528,,2005-06-05
241,210846,2,2007-11-09,WOTH,A011305635661,,2007-11-09
242,187276,1,2006-09-02,AOTH,A030266826026,,2006-09-02
243,293925,1,2000-12-26,ABAN,U067044939862,,2000-12-26
244,716651,1,2009-11-14,AIND,L008065103647,,2009-11-14
245,690022,1,2002-05-13,MOTH,Q090506719697,,2002-05-13
246,171369,2,2001-07-29,ABAN,K086104209748,,2001-07-29
247,13086,1,2005-06-29,WIRT,W066249558267,,2005-06-29
248,812221,2,2006-08-10,APKN,V003349657697,,2006-08-10
249,70974,2,2008-12-22,MOTH,W043187278370,,2008-12-22
250,972733,1,2008-05-06,MWAS,L074293376676,,2008-05-06
251,489455,2,2008-08-31,OOTH,F011477533389,,2008-08-31
252,211309,1,2004-11-07,MWAS,T048741222233,,2004-11-07
253,359195,2,2009-02-09,AIND,I038100633233,,2009-02-09
254,159447,2,2008-12-08,OOTH,B013886067330,,2008-12-08
255,352274,1,2000-10-02,BOTH,F059320444035,,2000-10-02
256,922154,1,2009-08-26,MWBA,U016943860805,,2009-08-26
257,980455,2,2005-11-03,APKN,H050943333600,,2005-11-03
258,418846,1,2009-08-26,APKN,Y083756633299,,2009-08-26
259,893365,2,2003-09-06,MOTH,B069232251370,,2003-09-06
260,831429,2,2009-12-26,OOTH,P085918211744,,2009-12-26
261,57648,1,2008-09-02,NOBT,E078333898249,,2008-09-02
262,315859,2,2000-07-27,WIRT,K069467004274,,2000-07-27
263,484400,1,2003-04-22,CHNE,B067536638464,,2003-04-22
264,372110,2,2000-03-16,BCRB,D087222616588,,2000-03-16
265,539670,2,2008-04-14,WBRI,G075411589743,,2008-04-14
266,579068,2,2002-11-06,OOTH,A042666227730,,2002-11-06
267,1656,1,2006-01-25,WBRI,J085527718559,,2006-01-25
268,662834,2,2004-09-05,MWAS,B027846515086,,2004-09-05
269,679089,1,2001-07-23,WIRI,M018282532437,,2001-07-23
270,978525,2,2008-10-04,AOTH,J036970451018,,2008-10-04
271,257705,2,2007-03-06,WROM,K096643170384,,2007-03-06
272,411707,2,2008-10-28,MOTH,A077301877588,,2008-10-28
273,534005,2,2000-05-14,APKN,D073152340737,,2000-05-14
274,103114,2,2006-05-16,MWBA,K005912181735,,2006-05-16
275,414521,2,2009-10-14,CHNE,I073964300941,,2009-10-14
276,268322,2,2008-01-26,ABAN,V097603943730,,2008-01-26
277,777424,1,2005-11-05,BOTH,X064236256900,,2005-11-05
278,127407,1,2002-08-21,APKN,A052987002851,,2002-08-21
279,388154,2,2008-06-11,BOTH,V023158284458,,2008-06-11
280,371371,1,2008-08-09,OOTH,X009624492333,,2008-08-09
281,227488,2,2004-08-11,MWBC,I034975157626,,2004-08-11
282,279660,2,2009-02-09,OOTH,U097932615128,,2009-02-09
283,481088,1,2006-02-28,CHNE,K088832986703,,2006-02-28
284,629831,2,2007-10-04,BAFR,J093468576125,,2007-10-04
285,766270,1,2002-02-09,MWBC,E003704228614,,2002-02-09
286,800491,2,2008-07-05,BAFR,X013500857289,,2008-07-05
287,59087,2,2009-06-17,REFU,A061919291284,,2009-06-17
288,750487,2,2003-06-11,CHNE,H029935423528,,2003-06-11
289,63975,2,2006-12-09,CHNE,N003600836325,,2006-12-09
290,309114,2,2006-09-10,WIRI,U015441057702,,2006-09-10
291,53927,2,2006-01-25,WOTH,D098398624737,,2006-01-25
292,814280,2,2008-10-01,MWBA,S066329313940,,2008-10-01
293,460752,2,2008-11-14,OOTH,R089951240129,,2008-11-14
294,460574,1,2002-12-24,MOTH,D086331036644,,2002-12-24
295,64233,1,2005-12-22,WBRI,C046327036819,,2005-12-22
296,284120,1,2009-05-25,WOTH,Q075356713877,,2009-05-25
297,856877,1,2002-05-18,CHNE,A011289375847,,2002-05-18
298,546042,1,2003-06-12,WROM,T072999949937,,2003-06-12
299,425538,1,2009-08-23,WROM,M095814341035,,2009-08-23
300,584620,1,2000-12-14,MWAS,A096094318072,,2000-12-14
301,851516,2,1999-09-29,ABAN,E080591591822,,1999-09-29
302,164592,2,2004-10-03,MOTH,D061467442844,,2004-10-03
303,519,1,2002-03-26,AOTH,Z083151961630,,2002-03-26
304,75578,1,2001-06-20,BAFR,U049087631928,,2001-06-20
305,838434,2,2006-07-12,CHNE,J082515354925,,2006-07-12
306,325007,1,2009-12-06,CHNE,H052060460155,,2009-12-06
307,980483,2,2006-11-15,AOTH,Y097796767275,,2006-11-15
308,604396,2,1999-04-26,AOTH,X027037450585,,1999-04-26
309,290,2,2000-11-13,MWBC,S077270991828,,2000-11-13
310,294875,1,2004-03-01,MWBA,F062141812188,,2004-03-01
311,241130,2,2003-06-24,APKN,H093638760269,,2003-06-24
312,502148,1,2001-10-05,OOTH,F010072921303,,2001-10-05
313,411555,1,2001-04-28,MWBA,G063125093680,,2001-04-28
314,172092,1,1999-07-01,BCRB,G027846881849,,1999-07-01
315,667440,2,1999-10-08,WROM,O067564394193,,1999-10-08
316,895808,1,2009-01-26,BAFR,G000052982093,,2009-01-26
317,740561,2,2006-12-21,BOTH,E059209051247,,2006-12-21
318,793208,2,1999-04-27,BCRB,P004006121251,,1999-04-27
319,364661,2,2000-07-21,BAFR,R067471644448,,2000-07-21
320,454546,1,2009-03-25,MOTH,G083815330215,,2009-03-25
321,876799,1,2002-02-02,MWBA,V006916890281,,2002-02-02
322,812096,2,2008-06-04,MWBA,W055040635331,,2008-06-04
323,890271,2,1999-07-09,OOTH,C082502442296,,1999-07-09
324,546571,2,2003-05-04,NOBT,O097325077435,,2003-05-04
325,444178,1,2000-09-22,BCRB,H068748435289,,2000-09-22
326,446453,1,2007-08-19,MWAS,O060088226723,,2007-08-19
327,621603,1,1999-08-16,BAFR,R029557881802,,1999-08-16
328,275069,2,2008-02-21,REFU,C047233588915,,2008-02-21
329,216649,2,2004-04-22,WIRT,M094850983577,,2004-04-22
330,579001,1,2006-10-23,WROM,V075376052261,,2006-10-23
331,962525,1,2001-04-25,BCRB,K084261307548,,2001-04-25
332,625998,2,2003-07-06,BOTH,M070449482970,,2003-07-06
333,532196,1,2005-06-24,AIND,Q016288789597,,2005-06-24
334,549349,1,2005-05-14,NOBT,Y037398738157,,2005-05-14
335,852739,1,2007-02-22,WBRI,S084266748184,,2007-02-22
336,149412,2,2007-11-16,BCRB,V042380038652,,2007-11-16
337,417910,1,2001-07-01,MOTH,Z051805894237,,2001-07-01
338,916945,2,2001-07-04,NOBT,O029214693845,,2001-07-04
339,518169,1,1999-04-19,BAFR,G013456598481,,1999-04-19
340,755819,2,2008-08-30,CHNE,C098641532391,,2008-08-30
341,162049,1,2008-04-05,OOTH,U075088365759,,2008-04-05
342,744111,2,1999-10-07,APKN,H008433024207,,1999-10-07
343,282989,1,2009-10-22,BOTH,O012221421828,,2009-10-22
344,818828,2,2000-12-27,WIRI,P084109199756,,2000-12-27
345,675419,1,2005-03-06,AIND,X017327609833,,2005-03-06
346,152230,1,2008-06-23,MWAS,L055382525385,,2008-06-23
347,970280,2,2007-07-02,NOBT,E037689757645,,2007-07-02
348,948155,1,2006-11-25,WIRI,N057905873205,,2006-11-25
349,544632,1,2000-04-08,AIND,I003960568634,,2000-04-08
350,397023,2,2003-02-24,OOTH,W009792898792,,2003-02-24
351,438930,1,2006-10-11,WIRI,I076412613455,,2006-10-11
352,208073,1,1999-04-27,REFU,S006753743328,,1999-04-27
353,923920,1,2000-07-30,ABAN,W014653132554,,2000-07-30
354,824525,2,2000-06-24,OOTH,X029365343856,,2000-06-24
355,422617,2,2005-07-08,NOBT,F001088721722,,2005-07-08
356,153964,1,2004-11-26,AOTH,O003574313445,,2004-11-26
357,272687,2,2006-09-30,REFU,I071335746933,,2006-09-30
358,707054,1,2004-07-29,REFU,D026903151571,,2004-07-29
359,536218,1,2009-07-25,OOTH,B080852841567,,2009-07-25
360,289373,1,2008-10-30,APKN,E085422999763,,2008-10-30
361,709655,1,2006-05-17,ABAN,R067442039196,,2006-05-17
362,871945,1,2006-01-22,APKN,L066704408874,,2006-01-22
363,138289,1,1999-09-26,WROM,V009054120811,,1999-09-26
364,422413,1,2009-05-15,BCRB,P076509903805,,2009-05-15
365,957444,2,2003-10-31,MOTH,L042682730211,,2003-10-31
366,553116,2,2009-11-05,WBRI,L050987733913,,2009-11-05
367,92150,2,2008-07-31,ABAN,X075537188636,,2008-07-31
368,282067,1,2006-10-13,WBRI,L069288592535,,2006-10-13
369,672530,1,2002-04-02,WBRI,J098196068854,,2002-04-02
370,719756,1,2008-03-27,WOTH,G002637750426,,2008-03-27
371,844369,1,2006-03-24,AIND,U057820454535,,2006-03-24
372,533989,2,2002-11-27,MWAS,K082258907992,,2002-11-27
373,731704,2,2007-12-31,AIND,G012866603948,,2007-12-31
374,236096,2,2008-11-28,MWBA,Y043116630012,,2008-11-28
375,993069,2,2005-08-25,MOTH,D005392752387,,2005-08-25
376,146596,2,2003-11-04,WIRT,T084635363492,,2003-11-04
377,622236,2,2008-08-26,REFU,K016113843897,,2008-08-26
378,46269,2,2009-11-23,REFU,G040660869968,,2009-11-23
379,865691,2,2003-12-13,MWAS,M079679871033,,2003-12-13
380,324051,2,2005-11-02,MWBA,X029965769702,,2005-11-02
381,717291,1,2008-05-10,WBRI,R043830567316,,2008-05-10
382,593379,1,2002-09-09,NOBT,R002150782342,,2002-09-09
383,814378,2,2000-08-16,AIND,T034688987368,,2000-08-16
384,905870,1,2002-05-24,BCRB,M000534024714,,2002-05-24
385,342559,1,2000-07-23,ABAN,P017738656038,,2000-07-23
386,882477,2,2001-07-03,MWBA,E021167971628,,2001-07-03
387,828730,2,2003-07-16,CHNE,W031091763501,,2003-07-16
388,278501,2,2009-01-20,WROM,R014360234551,,2009-01-20
389,768841,2,2005-02-20,MWBC,M080810115808,,2005-02-20
390,666948,2,2002-10-31,BOTH,U071041791144,,2002-10-31
391,140302,1,2004-03-16,WIRI,Q043462748535,,2004-03-16
392,438335,1,2009-07-07,OOTH,S049196704737,,2009-07-07
393,122983,1,2006-03-09,AOTH,R029520689140,,2006-03-09
394,516144,1,2005-11-20,MWAS,U096866684592,,2005-11-20
395,433741,2,2007-09-05,MWAS,R006732373718,,2007-09-05
396,109036,2,2004-09-22,OOTH,C023816763637,,2004-09-22
397,163651,2,2004-10-09,REFU,X069070010265,,2004-10-09
398,900357,1,2006-04-01,WROM,E074899989490,,2006-04-01
399,506195,2,1999-08-24,WIRI,P049921630292,,1999-08-24
400,909227,2,2003-01-16,REFU,A008603382963,,2003-01-16
401,519059,1,2005-08-14,MOTH,L062252004368,,2005-08-14
402,524792,2,2002-02-04,WBRI,E021074591147,,2002-02-04
403,512334,2,2006-08-09,MWAS,I004115279608,,2006-08-09
404,625116,2,2008-02-16,MWAS,M043488667151,,2008-02-16
405,653400,1,2001-06-03,WIRT,U041817259633,,2001-06-03
406,288164,1,2007-09-28,BOTH,O051544951413,,2007-09-28
407,283412,2,2007-03-09,WIRT,A082443445350,,2007-03-09
408,5185,1,2006-04-02,MWBC,J014318194952,,2006-04-02
409,937220,2,2008-06-04,OOTH,S084967372908,,2008-06-04
410,576170,2,2007-10-04,WOTH,R037672110195,,2007-10-04
411,665330,1,2009-06-26,APKN,H033566864014,,2009-06-26
412,554262,1,2009-09-20,ABAN,I022265318790,,2009-09-20
413,42306,2,2002-09-20,REFU,Z048415637684,,2002-09-20
414,9522,2,2000-07-17,WIRI,L078466270392,,2000-07-17
415,915936,2,2004-08-05,OOTH,F095226787406,,2004-08-05
416,975846,2,2004-08-23,MWBC,F097785332791,,2004-08-23
417,715090,2,2007-04-16,AIND,Y053926726728,,2007-04-16
418,127822,2,2007-01-14,WIRT,G082529607502,,2007-01-14
419,396544,1,2002-02-12,WIRT,E023838702217,,2002-02-12
420,741403,1,1999-10-16,MWBA,H057850028711,,1999-10-16
421,720102,1,2007-09-07,AIND,N089185129229,,2007-09-07
422,62049,1,2007-02-26,WIRT,V007238896684,,2007-02-26
